"SMRACAA_AREA","SMRACAA_TERM_CODE_EFF","SMRACAA_ACTIVITY_DATE","SMRACAA_TRANSFER_IND","SMRACAA_SEQNO","SMRACAA_SPLIT_COURSE_IND","SMRACAA_CONNECTOR_REQ","SMRACAA_CONNECTOR_MAX","SMRACAA_CONNECTOR_TRANSFER","SMRACAA_CNT_IN_GPA_IND","SMRACAA_SET","SMRACAA_SUBSET","SMRACAA_RULE","SMRACAA_SUBJ_CODE","SMRACAA_CRSE_NUMB_LOW","SMRACAA_CRSE_NUMB_HIGH","SMRACAA_ATTR_CODE","SMRACAA_ATTS_CODE","SMRACAA_CAMP_CODE","SMRACAA_COLL_CODE","SMRACAA_DEPT_CODE","SMRACAA_YEAR_RULE","SMRACAA_TERM_CODE_FROM","SMRACAA_TERM_CODE_TO","SMRACAA_REQ_CREDITS","SMRACAA_REQ_COURSES","SMRACAA_MAX_CREDITS","SMRACAA_MAX_COURSES","SMRACAA_MIN_CRED_CRSE","SMRACAA_MAX_CRED_CRSE","SMRACAA_COMPL_CREDITS","SMRACAA_COMPL_COURSES","SMRACAA_GRDE_CODE_MIN","SMRACAA_MAX_CREDITS_TRANSFER","SMRACAA_MAX_COURSES_TRANSFER","SMRACAA_END_FUNCTION","SMRACAA_CATALOG_IND","SMRACAA_TESC_CODE","SMRACAA_MIN_VALUE","SMRACAA_MAX_VALUE","SMRACAA_CONCURRENCY_IND","SMRACAA_SURROGATE_ID","SMRACAA_VERSION","SMRACAA_USER_ID","SMRACAA_DATA_ORIGIN","SMRACAA_VPDI_CODE"
P-ME  2001,200880,07/15/2008,Y,1,Y,N,N,N,Y,A10,100,,ENGR,1120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1058,0,,,
P-ME  2001,200880,07/15/2008,Y,2,Y,N,N,N,Y,A10,100,,MATH,1910,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1059,0,,,
P-ME  2330,201880,02/23/2018,Y,1,Y,N,N,N,Y,A10,100,,CEE,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,11034,1,,,
P-ME  2330,201880,04/09/2018,Y,2,Y,N,N,N,Y,A20,100,,PHYS,2110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11035,2,,,
P-ME  3001,202180,03/03/2021 1:48:07 PM,Y,2,Y,N,N,N,Y,A10,100,,MATH,2010,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14090,0,,,
P-ME  3001,202180,03/03/2021 1:48:07 PM,Y,3,Y,N,N,N,Y,A10,100,,MATH,2120,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,14091,0,,,
P-ME  3001,202180,03/03/2021 1:48:45 PM,Y,4,Y,N,N,N,Y,A10,200,,CSC,1300,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14092,1,,,
P-ME  3001,202180,03/03/2021 1:48:39 PM,Y,1,Y,N,N,N,Y,A10,100,,ENGR,1120,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14089,1,,,
P-ME  3010,202080,03/06/2020 10:21:46 AM,Y,6,Y,N,N,N,Y,A20,100,,CEE,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,13173,0,,,
P-ME  3010,202080,07/26/2021 11:57:34 AM,Y,5,Y,N,N,N,Y,A10,300,,MET,2400,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,13172,1,,,
P-ME  3010,202080,07/26/2021 11:57:34 AM,Y,4,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,13170,2,,,
P-ME  3010,202080,07/26/2021 11:57:34 AM,Y,3,Y,N,N,N,Y,A10,200,,ME,2910,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,13169,2,,,
P-ME  3010,202080,07/26/2021 11:57:34 AM,Y,7,Y,N,N,N,Y,A30,200,,CHEM,1110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,13174,1,,,
P-ME  3010,202080,07/26/2021 11:57:34 AM,Y,2,Y,N,N,N,Y,A30,100,,CHEM,1010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,13168,2,,,
P-ME  3023,202180,07/26/2021 3:49:23 PM,Y,6,Y,N,N,N,Y,A10,100,,ECE,2850,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,14095,1,,,
P-ME  3023,202180,07/26/2021 3:49:23 PM,Y,5,Y,N,N,N,Y,A10,200,,PHYS,2119,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,14094,2,,,
P-ME  3023,202180,07/26/2021 3:49:23 PM,Y,2,Y,N,N,N,Y,A10,100,,PHYS,2120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,14093,2,,,
P-ME  3023,202180,07/26/2021 3:49:23 PM,Y,7,Y,N,N,N,Y,A30,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,14096,1,,,
P-ME  3023,202180,07/26/2021 3:49:23 PM,Y,8,Y,N,N,N,Y,A10,200,,ECE,2011,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,14097,2,,,
P-ME  3050,201880,07/26/2021 12:08:06 PM,Y,5,Y,N,N,N,Y,A10,100,,ME,3001,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11978,2,,,
P-ME  3050,201880,07/26/2021 12:08:06 PM,Y,2,Y,N,N,N,Y,A10,100,,ME,2330,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11976,2,,,
P-ME  3050,201880,07/26/2021 12:08:06 PM,Y,3,Y,N,N,N,Y,A20,100,,ME,3023,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11977,3,,,
P-ME  3050,201880,07/26/2021 12:08:06 PM,Y,6,Y,N,N,N,Y,A20,200,,VE,3500,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11979,1,,,
P-ME  3210,201910,10/09/2018 11:18:04 AM,Y,1,Y,N,N,N,Y,A10,100,,CHEM,1110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11573,0,,,
P-ME  3210,201910,10/09/2018,Y,2,Y,N,N,N,Y,A10,100,,MATH,2110,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,11574,1,,,
P-ME  3220,200880,07/15/2008,Y,1,Y,N,N,N,Y,,,,ME,3210,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1066,0,,,
P-ME  3610,200880,07/15/2008,Y,1,Y,N,N,N,Y,,,,ME,2330,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1067,0,,,
P-ME  3710,201910,10/09/2018,Y,1,Y,N,N,N,Y,A10,100,,MATH,2120,,,,,,,,,,,,,,,,,,C,,,,N,,,,N,11571,1,,,
P-ME  3710,201910,10/09/2018 11:15:41 AM,Y,2,Y,N,N,N,Y,A10,100,,ME,3210,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11572,0,,,
P-ME  3720,200880,07/15/2008,Y,1,Y,N,N,N,Y,,,,ME,2330,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1069,0,,,
P-ME  3900,201180,02/25/2011,Y,1,Y,N,N,N,Y,A10,100,,ENGR,1110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,9706,0,,,
P-ME  3900,201180,02/28/2011,Y,2,Y,N,N,N,Y,A10,100,,MATH,1920,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,9707,0,,,
P-ME  4010,201880,02/23/2018 11:33:49 AM,Y,2,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11037,0,,,
P-ME  4010,201880,02/23/2018 11:33:49 AM,Y,3,Y,N,N,N,Y,A10,100,,ME,2330,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11038,0,,,
P-ME  4010,201880,02/23/2018 11:33:49 AM,Y,4,Y,N,N,N,Y,A10,100,,ME,3010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11039,0,,,
P-ME  4020,201680,03/02/2016 3:20:06 PM,Y,2,Y,N,N,N,Y,A10,100,,ME,4010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3160,0,,,
P-ME  4020,201680,03/02/2016 3:20:06 PM,Y,3,Y,N,N,N,Y,A10,100,,ME,3610,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3161,0,,,
P-ME  4060,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1072,0,,,
P-ME  4120,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,2330,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1073,0,,,
P-ME  4140,201680,03/02/2016,Y,4,Y,N,N,N,Y,A10,100,,ME,3060,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,3163,0,,,
P-ME  4140,201680,04/04/2017,Y,5,Y,N,N,N,Y,A10,200,,ECE,3210,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,3164,0,,,
P-ME  4140,201680,04/04/2017,Y,6,Y,N,N,N,Y,A10,200,,ECE,3260,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,3165,0,,,
P-ME  4140,201680,03/02/2016,Y,3,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,3162,0,,,
P-ME  4160,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1078,0,,,
P-ME  4160,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,MATH,2120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1079,0,,,
P-ME  4180,201010,11/12/2009,Y,0,Y,N,N,N,Y,,,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,876,0,,,
P-ME  4190,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1082,0,,,
P-ME  4190,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,200,,MATH,2120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1083,0,,,
P-ME  4210,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1084,0,,,
P-ME  4210,200880,07/16/2008,Y,3,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1086,0,,,
P-ME  4210,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1085,0,,,
P-ME  4220,201480,03/26/2014,Y,2,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6661,0,,,
P-ME  4220,201480,03/26/2014,Y,4,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6664,0,,,
P-ME  4220,201480,03/26/2014,Y,3,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,6662,0,,,
P-ME  4260,200880,07/18/2007,Y,2,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,602,0,,,
P-ME  4260,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,601,0,,,
P-ME  4310,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1087,0,,,
P-ME  4310,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,272,0,,,
P-ME  4370,201350,03/04/2013 3:42:07 PM,Y,4,Y,N,N,N,Y,A10,100,,ME,3060,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,8057,0,,,
P-ME  4370,201350,03/04/2013 3:42:07 PM,Y,3,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,8056,0,,,
P-ME  4370,201350,03/04/2013,Y,1,Y,N,N,N,Y,A10,100,,ECE,2010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,8054,0,,,
P-ME  4370,201350,03/04/2013,Y,2,Y,N,N,N,Y,A10,100,,PHYS,2121,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,8055,0,,,
P-ME  4380,202180,04/21/2021 11:42:15 AM,Y,1,Y,N,N,N,Y,A10,100,,ME,3023,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14410,0,,,
P-ME  4380,202180,04/21/2021 11:42:15 AM,Y,3,Y,N,N,N,Y,A10,100,,ME,3060,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14412,0,,,
P-ME  4380,202180,04/21/2021 11:42:15 AM,Y,2,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,,,,,N,,,,N,14411,0,,,
P-ME  4410,202180,09/01/2021 3:35:35 PM,Y,9,Y,N,N,N,Y,A10,100,,ME,3060,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15636,1,,,
P-ME  4410,202180,09/01/2021 3:35:36 PM,Y,4,Y,N,N,N,Y,A10,100,,ME,3610,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15631,1,,,
P-ME  4410,202180,09/01/2021 3:35:36 PM,Y,5,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15632,1,,,
P-ME  4410,202180,09/01/2021 3:35:36 PM,Y,6,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15633,1,,,
P-ME  4410,202180,09/01/2021 3:35:06 PM,Y,7,Y,N,N,N,Y,A10,100,,ME,4010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15634,0,,,
P-ME  4410,202180,09/01/2021 3:35:06 PM,Y,8,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,15635,0,,,
P-ME  4410,202180,09/01/2021 3:35:35 PM,Y,1,Y,N,N,N,Y,A10,100,,ME,3023,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15628,1,,,
P-ME  4410,202180,09/01/2021 3:35:36 PM,Y,10,Y,N,N,N,Y,A10,100,,ME,4910,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15637,1,,,
P-ME  4410,202180,09/01/2021 3:35:35 PM,Y,3,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15630,1,,,
P-ME  4410,202180,09/01/2021 3:35:06 PM,Y,2,Y,N,N,N,Y,A10,100,,ME,3001,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15629,0,,,
P-ME  4420,201880,02/23/2018 11:25:53 AM,Y,3,Y,N,N,N,Y,A10,100,,ME,4910,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11026,0,,,
P-ME  4420,201880,02/23/2018,Y,7,Y,N,N,N,Y,A20,300,,ME,4720,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11030,0,,,
P-ME  4420,201880,02/23/2018,Y,6,Y,N,N,N,Y,A20,200,,ME,5020,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11029,1,,,
P-ME  4420,201880,02/23/2018,Y,5,Y,N,N,N,Y,A20,100,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,Y,11028,1,,,
P-ME  4420,201880,02/23/2018 11:25:53 AM,Y,4,Y,N,N,N,Y,A10,100,,ME,4410,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11027,0,,,
P-ME  4420,201880,02/23/2018 11:25:53 AM,Y,2,Y,N,N,N,Y,A10,100,,ME,3050,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11025,0,,,
P-ME  4420,201880,02/23/2018 11:25:53 AM,Y,1,Y,N,N,N,Y,A10,100,,ME,3060,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,11024,0,,,
P-ME  4444,201580,03/25/2015,Y,8,Y,N,N,N,Y,A10,200,,ME,5020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,10348,0,,,
P-ME  4444,201580,03/25/2015,Y,2,Y,N,N,N,Y,A10,300,,ME,4720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,10343,0,,,
P-ME  4444,201580,03/25/2015 8:59:32 AM,Y,7,Y,N,N,N,Y,A10,100,,ME,4020,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,10347,0,,,
P-ME  4450,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1095,0,,,
P-ME  4450,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1096,0,,,
P-ME  4460,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,200,,ME,3010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1098,0,,,
P-ME  4460,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,CEE,3110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1097,0,,,
P-ME  4470,201010,11/12/2009,Y,1,Y,N,N,N,Y,A10,100,,CHEM,1120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,881,0,,,
P-ME  4470,201010,11/12/2009,Y,2,Y,N,N,N,Y,A10,100,,MATH,2120,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,884,0,,,
P-ME  4470,201010,11/12/2009,Y,3,Y,N,N,N,Y,A10,100,,PHYS,2110,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,916,0,,,
P-ME  4480,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,4460,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1099,0,,,
P-ME  4490,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,3010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1100,0,,,
P-ME  4510,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1101,0,,,
P-ME  4610,200880,07/16/2008,Y,3,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1104,0,,,
P-ME  4610,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1102,0,,,
P-ME  4610,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1103,0,,,
P-ME  4620,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1105,0,,,
P-ME  4630,200880,07/16/2008,Y,1,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1106,0,,,
P-ME  4630,200880,07/16/2008,Y,2,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1107,0,,,
P-ME  4630,200880,07/16/2008,Y,3,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1108,0,,,
P-ME  4640,200880,07/16/2008,Y,1,Y,N,N,N,Y,,,,ME,3610,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,1109,0,,,
P-ME  4720,201710,04/03/2017 9:59:13 AM,Y,1,Y,N,N,N,Y,A10,100,,ME,3220,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3577,0,,,
P-ME  4720,201710,04/03/2017 9:59:13 AM,Y,2,Y,N,N,N,Y,A10,100,,ME,3710,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3578,0,,,
P-ME  4720,201710,04/03/2017 9:59:13 AM,Y,3,Y,N,N,N,Y,A10,100,,ME,3720,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,3579,0,,,
P-ME  4730,202180,09/01/2021 4:07:15 PM,Y,1,Y,N,N,N,Y,A10,100,,ECE,2010,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15638,1,,,
P-ME  4730,202180,09/01/2021 4:07:15 PM,Y,2,Y,N,N,N,Y,A20,100,,PHYS,2121,,,,,,,,,,,,,,,,,,D,,,,N,,,,N,15639,0,,,
